#seqnames	start	end	width	strand	name	score	signalValue	pValue	qValue	peak	type	gene	deseq.foxp1wt.q	deseq.foxp1fl.q	foxp1diff.log2FC	foxp1diff.q	Foxp1	noFoxp1	fkh	runx	ets
1	6214224	6215056	833	*	foxp3_peak_119	558	6.49328	55.88021	51.99572	452	promoter	Rb1cc1	1.63103889910922e-07	0.00734231715086026	-0.570095931174868	0.492236327917082	1	0	0	0	0
1	7088416	7089588	1173	*	foxp3_peak_150b	210	3.74285	21.01714	17.77866	659	promoter	Pcmtd1	6.20651508948592e-05	0.100252616626236	-0.394310651241255	0.72226683366422	0	0	0	0	0
1	7396710	7399082	2373	*	foxp3_peak_181a	1052	9.69007	105.25027	100.83632	429	promoter		8.74369496920401e-12	3.53288156802775e-07	0.0433381824163619	0.958061012319325	0	0	0	0	0
1	9824044	9824400	357	*	foxp3_peak_294	87	2.97498	8.77831	5.98419	200	intron	Sgk3	0.0048116415878745		-0.74384210517992	0.623169291096127	0	1	0	0	0
1	10232654	10233234	581	*	foxp3_peak_334	292	4.35821	29.25447	25.81702	324	promoter	Arfgef1	0.00362183594079569	0.0780743723827077	-0.404811407303036	0.660267856244455	0	0	0	0	0
1	13267215	13268307	1093	*	foxp3_peak_431	808	8.06649	80.8198	76.63345	442	intron	Ncoa2	2.65446270246392e-10	0.00275916196560886	-0.74248657053618	0.257422404497541	0	0	1	1	1
1	13371875	13374740	2866	*	foxp3_peak_443g	266	4.18247	26.6002	23.22164	2223	promoter	Ncoa2	2.69636887598205e-09	0.00375497121522005	-0.469582310454478	0.438702155485175	1	0	0	0	0
1	13383111	13384004	894	*	foxp3_peak_446b	292	5.51665	29.28204	25.84331	562	intergenic	Ncoa2	0.00107600845514046	0.0356995894178193	-0.243117411357416	0.829831676909149	0	1	0	0	1
1	13588367	13590207	1841	*	foxp3_peak_473d	170	3.15568	17.09829	13.97248	1658	promoter	Tram1	0.00501092055746312	0.00426710594298131	0.161047151899363	0.839086830692064	0	0	0	0	1
1	13593142	13593932	791	*	foxp3_peak_474	438	4.73906	43.89762	40.1894	362	intergenic	Tram1	0.00541970589476037	0.0769778293306495	-0.210192390756075	0.820330264627763	0	0	0	0	0
1	15805234	15806328	1095	*	foxp3_peak_534c	594	6.61667	59.40631	55.47264	900	promoter	Terf1	0.000111710160815321	0.00460248093988643	-0.258860898854994	0.756799978693429	0	0	0	0	1
1	16104293	16105387	1095	*	foxp3_peak_544b	147	3.36894	14.78247	11.73789	480	promoter	Rpl7	0.00273747567310038	0.0285093292811191	-0.154401656404103	0.867270093965806	0	0	0	0	0
1	16656362	16657432	1071	*	foxp3_peak_575	241	3.34517	24.17842	20.85779	562	promoter	Tceb1	0.000925150853918162	0.0384009943157856	-0.276804252534887	0.73942126699072	0	0	0	0	0
1	16688162	16689079	918	*	foxp3_peak_577	318	4.73114	31.81556	28.32492	501	promoter	Ly96	3.58604248262016e-05	0.0108405854072171	-0.408702149262678	0.606477312596616	1	0	0	1	1
1	21218108	21219043	936	*	foxp3_peak_753a	170	4.10461	17.05142	13.92815	374	promoter	Tmem14a	0.00844497440627018	0.00598817842168715	0.107267544398204	0.928762824837973	0	0	1	0	0
1	21290984	21292011	1028	*	foxp3_peak_768a	103	2.91308	10.39594	7.52494	199	exon	Gm4956	0.00597770884120654	0.232949067827397	-0.661729193956571	0.525776684310524	0	0	0	0	0
1	21333028	21334488	1461	*	foxp3_peak_788	2725	22.33518	272.56622	267.19214	823	intergenic		5.50440163263851e-29	8.70168112362934e-15	-0.203993071259617	0.754557401155691	1	0	0	1	0
1	21959838	21961864	2027	*	foxp3_peak_886d	184	3.92021	18.40454	15.23914	1691	promoter	Kcnq5	2.27262595717223e-05	0.00918646265487837	-0.311545002179594	0.692889588523568	0	0	0	0	0
1	23915023	23916653	1631	*	foxp3_peak_947b	1160	12.05135	116.01112	111.50954	737	intron	Smap1	7.1529715483532e-10	3.55040222594924e-05	-0.20079573173562	0.797832377049179	0	0	0	1	1
1	23922090	23922709	620	*	foxp3_peak_951	369	5.67193	36.90428	33.31564	304	promoter	Smap1	6.67363109305902e-05	0.00274738836147723	-0.184946958854816	0.863965702488738	0	0	0	0	0
1	24677983	24679495	1513	*	foxp3_peak_988b	231	3.67516	23.18186	19.88514	585	promoter	Lmbrd1	1.20317027904665e-05	0.00104488378122129	-0.103804472117189	0.89390605945628	1	0	0	0	1
1	30872289	30874131	1843	*	foxp3_peak_1376c	745	4.97821	74.57988	70.46039	1598	promoter	Phf3	4.37461526818449e-08	0.0183890287659423	-0.587551178182917	0.307499098078104	1	0	1	0	0
1	33882781	33884434	1654	*	foxp3_peak_1497a	365	6.22267	36.52879	32.94613	815	promoter	Bend6	1.65312871177679e-06	0.000885724975533113	-0.121669377156028	0.896765950823558	0	0	0	1	0
1	34005387	34006147	761	*	foxp3_peak_1502	211	4.59883	21.12717	17.88501	422	promoter	Dst	6.00738159244255e-05	0.0442556950354582	-0.733617748485378	0.431629519631662	0	1	0	0	1
1	34010781	34012232	1452	*	foxp3_peak_1505a	2304	16.78494	230.46898	225.28358	673	promoter	Dst	1.62906551860197e-10	3.36673121746235e-10	0.363351473202613	0.595815143717419	0	0	1	0	0
1	34433775	34435297	1523	*	foxp3_peak_1530c	337	4.52486	33.75153	30.221	1219	promoter	Gm37233	1.00678693653909e-05	0.0201741307617901	-0.474633985237212	0.486929352890584	0	0	0	0	1
1	34478678	34479339	662	*	foxp3_peak_1541	336	4.9998	33.60181	30.07479	351	intergenic	Gm28417	0.00240196306402204	0.0829276928330181	-0.447204312587961	0.642691600317171	1	0	0	1	0
1	34510631	34511382	752	*	foxp3_peak_1547	183	4.31642	18.37826	15.21349	239	intergenic		0.000444153194838142	0.139433559472926	-0.88667315043493	0.404268348403665	0	0	0	0	1
1	34842304	34844123	1820	*	foxp3_peak_1557a	410	4.96126	41.06599	37.40475	598	promoter	Fam168b	2.1265499521338e-05	0.0164640200950231	-0.144624902173881	0.875343048462499	1	0	0	1	0
1	35580545	35580973	429	*	foxp3_peak_1573	295	5.38773	29.50341	26.05996	182	intergenic		0.00268498772513868	0.0513514661100158	-0.310577676823651	0.822223431966685	0	0	0	0	1
1	36263776	36265022	1247	*	foxp3_peak_1615b	1565	8.94306	156.58476	151.80702	550	exon	Neurl3	2.59065736966402e-14	2.0383267009584e-05	-0.511642026634143	0.393067598765915	0	0	0	0	1
1	36273078	36274104	1027	*	foxp3_peak_1621	224	4.01218	22.46306	19.18777	572	promoter	Neurl3	0.00065739993727814	0.0459955910276443	-0.378204941579344	0.719575452894085	0	0	1	0	0
1	36296478	36297111	634	*	foxp3_peak_1627	482	5.17062	48.22425	44.44883	353	intergenic		0.000149948938909997	0.100243167483491	-0.660038450828768	0.440874235049794	0	0	0	0	1
1	36307224	36308303	1080	*	foxp3_peak_1628	812	5.82526	81.21507	77.02475	815	promoter	Arid5a	6.3781935921592e-11	0.00663012245821196	-0.714786096842422	0.232409623442201	1	0	0	0	1
1	36309514	36310023	510	*	foxp3_peak_1630	388	5.40326	38.81141	35.18894	249	exon	Arid5a	0.00182677869352152	0.0863331889960619	-0.571330599498731	0.547211227434689	0	0	0	0	0
1	36470645	36472218	1574	*	foxp3_peak_1642d	217	4.28706	21.72647	18.46892	1125	promoter	Cnnm4	1.30693500075545e-05	0.0015283764231769	-0.208617071821431	0.791557195017148	1	0	1	0	1
1	36761036	36762226	1191	*	foxp3_peak_1665b	961	7.13616	96.1041	91.76764	732	promoter	Zap70	1.84084605829197e-13	1.05188112441137e-05	-0.510503182157822	0.427081754367865	1	0	0	0	1
1	36766361	36767544	1184	*	foxp3_peak_1667d	396	5.88648	39.62846	35.99313	928	promoter	Zap70	1.23671365123437e-06	0.00182142235130836	-0.322926304048627	0.651890591397597	0	0	0	1	1
1	36919730	36920982	1253	*	foxp3_peak_1689b	290	3.94387	29.01658	25.58327	902	intron	Tmem131	0.000136844239530565	0.0785883526069876	-0.486130150280248	0.529129985756067	0	1	0	1	1
1	37000312	37000955	644	*	foxp3_peak_1701a	148	3.42938	14.85232	11.80381	190	intergenic		0.00854399954424927	0.105139438133566	-0.591094685710952	0.581771847624672	0	0	0	1	0
1	37002307	37002987	681	*	foxp3_peak_1704	201	4.24387	20.10003	16.88681	281	intergenic		0.000534031066208458	0.000271110464110623	0.444441420899781	0.696696106710758	0	1	0	0	1
1	37028744	37029388	645	*	foxp3_peak_1707	120	3.23654	12.03774	9.0977	470	promoter		0.00806735205695185	0.102791192904972	-0.439572729550224	0.683754586134387	0	0	0	0	0
1	37429787	37430378	592	*	foxp3_peak_1726	196	2.99872	19.62949	16.43025	375	promoter	Coa5	0.00368448551103886	0.0332977693092924	-0.192567685412087	0.840017413512704	1	0	0	0	0
1	37544331	37544638	308	*	foxp3_peak_1744	166	3.6098	16.68434	13.57383	159	intergenic	Mgat4a	0.000611453618068173		-1.8599918114482	0.0700476123916218	0	1	0	0	1
1	37864584	37865356	773	*	foxp3_peak_1751	368	4.77611	36.81794	33.23092	394	promoter	Tsga10	0.00697241086381785	0.032461199107169	-0.0275330691571266	0.981898647232779	0	0	0	0	0
